t x y v a
0.1 352.732275 16.512778 0.199061 6.677829
0.2 352.745193 17.176569 0.866844 -4.403334
0.3 352.800079 17.161424 0.42651 1.092227
0.4 352.757519 17.228519 0.535733 1.625952
0.5 352.808286 17.231307 0.698328 -6.983282
0.6 352.761966 17.248419 0.0 3.857276
0.7 352.761966 17.196159 0.385728 -3.857276
0.8 352.745193 17.196159 0.0 0.0
0.9 352.745193 17.161424 0.0 11.020757
1.0 352.745193 17.161424 1.102076 -2.772794
1.1 352.724603 17.161424 0.824796 -8.247963
1.2 352.761966 17.269691 0.0 3.857276
1.3 352.761966 17.196159 0.385728 0.429552
1.4 352.745193 17.196159 0.428683 -0.996844
1.5 352.765228 17.161424 0.328998 0.252779
1.6 352.757519 17.199323 0.354276 0.014423
1.7 352.761966 17.231307 0.355719 -1.566578
1.8 352.732275 17.196159 0.199061 6.677829
1.9 352.745193 17.176569 0.866844 -3.249491
2.0 352.800079 17.161424 0.541895 -2.717849
2.1 352.746819 17.228519 0.27011 -2.701097
2.2 352.761966 17.218524 0.0 3.542764
2.3 352.761966 17.196159 0.354276 3.826406
2.4 352.757519 17.196159 0.736917 6.449067
2.5 352.809092 17.231307 1.381824 -9.531409
2.6 352.745193 17.283945 0.428683 -3.832437
2.7 352.765228 17.161424 0.045439 -0.454391
2.8 352.761966 17.199323 0.0 3.542764
2.9 352.761966 17.196159 0.354276 -3.542764
3.0 352.757519 17.196159 0.0 7.096154
3.1 352.757519 17.231307 0.709615 0.0
3.2 352.745193 17.231307 0.709615 -1.738823
3.3 352.757519 17.161424 0.535733 1.172945
3.4 352.808286 17.231307 0.653028 3.001229
3.5 352.765228 17.248419 0.953151 4.286732
3.6 352.809092 17.199323 1.381824 -6.722083
3.7 352.745193 17.283945 0.709615 -3.55339
3.8 352.757519 17.161424 0.354276 0.0
3.9 352.761966 17.231307 0.354276 3.826406
4.0 352.757519 17.196159 0.736917 -1.753771
4.1 352.809092 17.231307 0.56154 0.0
4.2 352.800079 17.283945 0.56154 8.202838
4.3 352.809092 17.228519 1.381824 -9.96096
4.4 352.745193 17.283945 0.385728 -3.857276
4.5 352.761966 17.161424 0.0 3.857276
4.6 352.761966 17.196159 0.385728 9.96096
4.7 352.745193 17.196159 1.381824 -6.449067
4.8 352.809092 17.161424 0.736917 -2.011839
4.9 352.757519 17.283945 0.535733 -5.35733
5.0 352.808286 17.231307 0.0 6.530276
5.1 352.808286 17.248419 0.653028 -2.243448
5.2 352.765228 17.248419 0.428683 -4.286828
5.3 352.745193 17.199323 0.0 90.053152
5.4 352.745193 17.161424 9.005315 420.122374
5.5 352.073099 17.161424 51.017553 349.557255
5.6 347.661076 17.760796 85.973278 253.28779
5.7 340.230572 20.322428 111.302057 210.788762
5.8 330.562932 24.64697 132.380933 96.820391
5.9 319.01286 30.162241 142.062972 100.911633
6.0 306.834334 36.630852 152.154136 88.26154
6.1 293.710685 43.945386 160.980289 116.867435
6.2 279.782819 51.644648 172.667033 6.770537
6.3 264.901077 59.71689 173.344087 66.329185
6.4 249.97542 68.473191 179.977005 56.972876
6.5 234.502778 77.288319 185.674293 68.07208
6.6 218.561852 86.481499 192.481501 -25.514635
6.7 202.256142 96.00181 189.930037 70.438676
6.8 186.137009 106.229962 196.973905 24.928298
6.9 169.447574 116.275247 199.466735 32.159573
7.0 152.574029 126.737079 202.682692 -2.432205
7.1 135.555818 137.374431 202.439471 20.071496
7.2 118.526496 148.382757 204.446621 59.861608
7.3 101.49395 159.328971 210.432782 -235.182614
7.4 83.944206 170.637225 186.91452 157.495708
7.5 68.231176 182.248686 202.664091 39.66235
7.6 51.274825 192.371485 206.630326 20.584263
